ダウンロードした時刻：2021/06/07 13:42:06

,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2020/4/16,曇,8,1,曇時々雨,8,1
2020/4/17,曇時々晴,8,1,曇後雨,8,1
2020/4/18,大雨,8,1,晴一時曇,8,1
2020/4/19,晴,8,1,曇後時々雨,8,1
2020/4/20,雨,8,1,曇時々晴,8,1
2020/4/21,曇,8,1,曇時々晴,8,1
2020/4/22,晴後曇時々雨,8,1,曇時々雨,8,1
2020/4/23,晴時々薄曇,8,1,晴後時々薄曇,8,1
2020/4/24,晴一時曇,8,1,晴一時雨,8,1
2020/4/25,快晴,8,1,快晴,8,1
2020/4/26,薄曇時々晴,8,1,曇,8,1
2020/4/27,曇後雨,8,1,雨後晴時々曇,8,1
2020/4/28,曇後一時雨、雷を伴う,8,1,曇時々晴,8,1
2020/4/29,快晴,8,1,快晴,8,1
2020/4/30,晴,8,1,快晴,8,1
2020/5/1,晴時々薄曇,8,1,快晴,8,1
2020/5/2,快晴,8,1,晴後一時薄曇,8,1
2020/5/3,曇,8,1,曇時々雨,8,1
2020/5/4,雨後曇,8,1,晴時々曇,8,1
2020/5/5,曇時々晴,8,1,曇後時々雨,8,1
2020/5/6,曇時々雨、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
2020/5/7,晴,8,1,晴後時々薄曇,8,1
2020/5/8,晴一時曇,8,1,薄曇時々晴,8,1
2020/5/9,曇,8,1,曇時々雨,8,1
2020/5/10,曇時々雨,8,1,曇一時雨,8,1
2020/5/11,晴時々曇,8,1,晴後一時曇,8,1
2020/5/12,曇一時雨,8,1,曇後時々晴,8,1
2020/5/13,晴,8,1,晴,8,1
2020/5/14,晴後薄曇,8,1,晴時々薄曇,8,1
2020/5/15,薄曇,8,1,曇,8,1
2020/5/16,雨一時曇,8,1,雨後曇,8,1
2020/5/17,晴,8,1,晴後曇,8,1
2020/5/18,雨時々曇,8,1,大雨,8,1
2020/5/19,雨,8,1,雨,8,1
2020/5/20,曇一時雨,8,1,曇時々雨,8,1
2020/5/21,曇一時雨,8,1,曇時々雨,8,1
2020/5/22,曇時々雨,8,1,雨時々曇,8,1
2020/5/23,曇時々雨後晴,8,1,晴後薄曇,8,1
2020/5/24,晴一時曇,8,1,曇時々晴,8,1
2020/5/25,薄曇,8,1,曇一時晴,8,1
2020/5/26,曇後雨,8,1,曇時々雨,8,1
2020/5/27,曇一時晴,8,1,曇,8,1
2020/5/28,曇時々晴一時雨、雷を伴う,8,1,晴一時曇,8,1
2020/5/29,晴,8,1,晴時々薄曇,8,1
2020/5/30,薄曇時々晴,8,1,薄曇時々晴,8,1
2020/5/31,曇,8,1,曇後一時雨,8,1
2020/6/1,雨時々曇,8,1,曇時々雨,8,1
2020/6/2,曇後一時晴,8,1,曇,8,1
2020/6/3,薄曇,8,1,曇,8,1
2020/6/4,曇後一時晴,8,1,薄曇時々晴,8,1
2020/6/5,薄曇時々晴,8,1,薄曇,8,1
2020/6/6,曇、雷を伴う,8,1,雨時々曇、雷を伴う,8,1
2020/6/7,晴時々曇,8,1,曇一時晴,8,1
2020/6/8,晴時々曇,8,1,晴,8,1
2020/6/9,薄曇,8,1,薄曇後時々晴,8,1
2020/6/10,晴後一時曇,8,1,晴一時雨後時々曇,8,1
2020/6/11,曇後雨,8,1,雨時々曇,8,1
2020/6/12,曇一時晴,8,1,曇時々雨,8,1
2020/6/13,大雨,8,1,雨時々曇,8,1
2020/6/14,雨時々曇,8,1,曇一時雨,8,1
2020/6/15,薄曇,8,1,晴後曇,8,1
2020/6/16,曇後晴,8,1,晴一時雨,8,1
2020/6/17,晴一時薄曇,8,1,薄曇一時晴,8,1
2020/6/18,曇後一時雨,8,1,雨,8,1
2020/6/19,大雨,8,1,雨時々曇後晴,8,1
2020/6/20,曇時々晴,8,1,曇,8,1
2020/6/21,曇時々雨,8,1,曇,8,1
2020/6/22,雨,8,1,雨,8,1
2020/6/23,曇一時雨,8,1,曇一時晴,8,1
2020/6/24,曇一時雨後一時晴,8,1,曇後雨,8,1
2020/6/25,曇時々雨,8,1,曇一時雨,8,1
2020/6/26,曇後晴,8,1,曇,8,1
2020/6/27,曇,8,1,曇後雨,8,1
2020/6/28,雨後曇,8,1,晴一時曇,8,1
2020/6/29,晴,8,1,曇時々晴,8,1
2020/6/30,曇後雨,8,1,雨時々曇,8,1
2020/7/1,曇時々雨,8,1,雨後曇,8,1
2020/7/2,晴,8,1,薄曇一時晴,8,1
2020/7/3,曇時々雨,8,1,大雨,8,1
2020/7/4,曇時々雨,8,1,曇一時雨,8,1
2020/7/5,曇時々雨,8,1,曇後雨,8,1
2020/7/6,雨時々曇,8,1,雨時々曇,8,1
2020/7/7,曇時々雨,8,1,曇時々雨,8,1
2020/7/8,曇時々雨,8,1,雨時々曇,8,1
2020/7/9,雨一時曇,8,1,曇時々雨,8,1
2020/7/10,雨時々曇,8,1,曇,8,1
2020/7/11,曇時々雨,8,1,曇時々雨、雷を伴う,8,1
2020/7/12,曇,8,1,雨時々曇,8,1
2020/7/13,曇時々雨,8,1,雨,8,1
2020/7/14,雨後曇,8,1,曇,8,1
2020/7/15,雨,8,1,雨後一時曇,8,1
2020/7/16,曇,8,1,曇後雨,8,1
2020/7/17,雨後時々曇,8,1,雨一時曇,8,1
2020/7/18,雨時々曇,8,1,曇,8,1
2020/7/19,晴一時曇,8,1,曇一時晴,8,1
2020/7/20,薄曇,8,1,曇時々雨,8,1
2020/7/21,曇,8,1,曇時々雨,8,1
2020/7/22,曇時々雨,8,1,曇後時々雨、雷を伴う,8,1
2020/7/23,雨,8,1,曇一時雨,8,1
2020/7/24,曇時々雨,8,1,曇時々雨,8,1
2020/7/25,雨時々曇,8,1,曇時々雨,8,1
2020/7/26,曇時々雨一時晴,8,1,曇一時雨、雷を伴う,8,1
2020/7/27,曇後時々雨,8,1,雨時々曇,8,1
2020/7/28,雨時々曇,8,1,雨時々曇,8,1
2020/7/29,曇時々雨,8,1,曇時々雨,8,1
2020/7/30,曇,8,1,曇,8,1
2020/7/31,曇時々雨,8,1,曇後時々雨,8,1
2020/8/1,晴,8,1,晴一時曇,8,1
2020/8/2,晴時々曇,8,1,晴,8,1
2020/8/3,晴,8,1,晴,8,1
2020/8/4,晴,8,1,晴後時々曇,8,1
2020/8/5,晴,8,1,晴後一時曇,8,1
2020/8/6,晴時々薄曇,8,1,晴,8,1
2020/8/7,薄曇,8,1,曇一時晴,8,1
2020/8/8,曇後晴,8,1,曇一時晴,8,1
2020/8/9,薄曇,8,1,薄曇時々晴,8,1
2020/8/10,薄曇,8,1,晴時々薄曇,8,1
2020/8/11,晴,8,1,快晴,8,1
2020/8/12,晴後曇一時雨、雷を伴う,8,1,曇一時雨後晴,8,1
2020/8/13,晴後時々曇一時雨、雷を伴う,8,1,晴,8,1
2020/8/14,晴,8,1,晴後一時曇,8,1
2020/8/15,晴,8,1,晴後薄曇,8,1
2020/8/16,晴、雷を伴う,8,1,曇後晴,8,1
2020/8/17,曇後一時晴,8,1,曇一時雨,8,1
2020/8/18,晴一時曇,8,1,曇時々晴,8,1
2020/8/19,晴時々薄曇,8,1,晴一時薄曇,8,1
2020/8/20,晴,8,1,快晴,8,1
2020/8/21,晴,8,1,晴,8,1
2020/8/22,晴時々曇,8,1,曇時々雨、雷を伴う,8,1
2020/8/23,曇時々大雨、雷を伴う,8,1,晴時々曇一時雨,8,1
2020/8/24,晴一時曇,8,1,曇一時晴,8,1
2020/8/25,晴,8,1,晴,8,1
2020/8/26,晴,8,1,晴,8,1
2020/8/27,晴一時雨,8,1,晴後時々曇,8,1
2020/8/28,晴一時曇,8,1,晴,8,1
2020/8/29,晴,8,1,薄曇時々晴,8,1
2020/8/30,晴,8,1,晴後薄曇,8,1
2020/8/31,曇時々晴,8,1,曇時々雨,8,1
2020/9/1,曇,8,1,曇時々雨,8,1
2020/9/2,曇時々晴一時雨、雷を伴う,8,1,曇後時々雨一時晴,8,1
2020/9/3,晴時々曇一時雨,8,1,薄曇時々晴,8,1
2020/9/4,晴,8,1,曇後晴,8,1
2020/9/5,晴一時曇,8,1,曇時々雨、雷を伴う,8,1
2020/9/6,曇時々雨一時晴、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
2020/9/7,曇時々雨、雷を伴う,8,1,曇一時雨後晴,8,1
2020/9/8,晴後一時曇,8,1,薄曇後晴,8,1
2020/9/9,晴,8,1,薄曇時々晴一時雨,8,1
2020/9/10,曇一時晴,8,1,晴,8,1
2020/9/11,晴時々曇,8,1,曇時々雨,8,1
2020/9/12,雨時々曇,8,1,雨時々曇後晴,8,1
2020/9/13,曇後一時雨,8,1,雨時々曇,8,1
2020/9/14,曇後一時雨,8,1,曇一時雨,8,1
2020/9/15,曇,8,1,曇時々晴一時雨,8,1
2020/9/16,曇,8,1,曇時々雨,8,1
2020/9/17,曇,8,1,曇後時々晴,8,1
2020/9/18,曇,8,1,晴時々曇,8,1
2020/9/19,曇,8,1,曇,8,1
2020/9/20,曇時々雨,8,1,曇時々雨,8,1
2020/9/21,曇後晴,8,1,晴時々薄曇,8,1
2020/9/22,曇,8,1,雨,8,1
2020/9/23,雨時々曇,8,1,雨時々曇,8,1
2020/9/24,雨時々曇,8,1,雨時々曇,8,1
2020/9/25,雨,8,1,雨時々曇,8,1
2020/9/26,雨,8,1,曇時々雨,8,1
2020/9/27,曇後一時晴,8,1,曇一時雨後晴,8,1
2020/9/28,晴,8,1,曇時々晴後一時雨,8,1
2020/9/29,曇,8,1,薄曇後時々晴,8,1
2020/9/30,晴後一時薄曇,8,1,曇後時々雨,8,1
2020/10/1,曇時々晴一時雨,8,1,快晴,8,1
2020/10/2,快晴,8,1,曇時々晴,8,1
2020/10/3,曇時々晴,8,1,曇,8,1
2020/10/4,曇時々雨,8,1,曇一時雨,8,1
2020/10/5,晴一時雨,8,1,曇一時晴,8,1
2020/10/6,曇,8,1,晴時々曇,8,1
2020/10/7,曇一時晴後雨,8,1,雨,8,1
2020/10/8,雨,8,1,雨,8,1
2020/10/9,雨,8,1,雨,8,1
2020/10/10,大雨,8,1,曇時々雨,8,1
2020/10/11,曇時々雨,8,1,曇時々雨,8,1
2020/10/12,曇後一時晴,8,1,曇時々晴,8,1
2020/10/13,晴時々曇,8,1,曇時々晴,8,1
2020/10/14,曇一時晴,8,1,曇,8,1
2020/10/15,雨時々曇,8,1,曇,8,1
2020/10/16,曇時々晴,8,1,曇時々雨,8,1
2020/10/17,雨,8,1,雨後一時曇,8,1
2020/10/18,曇一時晴,8,1,晴後一時曇,8,1
2020/10/19,曇後雨,8,1,曇一時雨,8,1
2020/10/20,曇後晴,8,1,晴,8,1
2020/10/21,晴,8,1,曇一時雨,8,1
2020/10/22,曇,8,1,曇,8,1
2020/10/23,雨時々曇,8,1,曇時々晴一時雨,8,1
2020/10/24,晴,8,1,快晴,8,1
2020/10/25,快晴,8,1,晴後一時薄曇,8,1
2020/10/26,晴一時曇,8,1,晴時々曇,8,1
2020/10/27,晴時々曇,8,1,晴時々曇,8,1
2020/10/28,曇,8,1,曇後晴,8,1
2020/10/29,晴,8,1,曇,8,1
2020/10/30,曇後時々晴,8,1,晴,8,1
2020/10/31,快晴,8,1,晴,8,1
2020/11/1,曇,8,1,薄曇時々晴,8,1
2020/11/2,曇時々晴後一時雨,8,1,雨後一時曇,8,1
2020/11/3,曇,8,1,晴一時曇,8,1
2020/11/4,晴,8,1,晴,8,1
2020/11/5,快晴,8,1,曇時々晴,8,1
2020/11/6,曇,8,1,曇,8,1
2020/11/7,曇,8,1,曇時々雨,8,1
2020/11/8,曇,8,1,曇時々晴,8,1
2020/11/9,晴,8,1,晴時々曇,8,1
2020/11/10,快晴,8,1,晴一時曇,8,1
2020/11/11,晴,8,1,晴,8,1
2020/11/12,曇一時晴,8,1,曇,8,1
2020/11/13,晴,8,1,快晴,8,1
2020/11/14,快晴,8,1,快晴,8,1
2020/11/15,晴,8,1,晴時々曇,8,1
2020/11/16,晴,8,1,快晴,8,1
2020/11/17,快晴,8,1,晴後薄曇,8,1
2020/11/18,晴一時曇,8,1,晴後薄曇,8,1
2020/11/19,晴一時薄曇,8,1,薄曇一時晴,8,1
2020/11/20,曇,8,1,曇一時晴,8,1
2020/11/21,快晴,8,1,快晴,8,1
2020/11/22,晴,8,1,晴時々曇,8,1
2020/11/23,晴後曇,8,1,曇,8,1
2020/11/24,曇時々雨,8,1,雨時々曇,8,1
2020/11/25,雨後曇,8,1,曇時々晴,8,1
2020/11/26,晴,8,1,曇時々晴,8,1
2020/11/27,曇一時晴,8,1,曇後一時晴,8,1
2020/11/28,晴,8,1,曇一時晴,8,1
2020/11/29,曇,8,1,晴,8,1
2020/11/30,晴,8,1,晴時々曇,8,1
2020/12/1,晴,8,1,晴後時々曇,8,1
2020/12/2,曇時々雨,8,1,雨時々曇,8,1
2020/12/3,曇,8,1,晴一時曇,8,1
2020/12/4,晴後一時曇,8,1,晴後曇一時雨,8,1
2020/12/5,雨後時々曇,8,1,曇後晴,8,1
2020/12/6,晴時々曇,8,1,快晴,8,1
2020/12/7,快晴,8,1,晴一時曇,8,1
2020/12/8,晴後時々曇,8,1,曇,8,1
2020/12/9,曇,8,1,曇後時々雨,8,1
2020/12/10,曇一時雨,8,1,晴一時曇,8,1
2020/12/11,曇一時晴,8,1,曇,8,1
2020/12/12,曇,8,1,晴時々曇,8,1
2020/12/13,晴後薄曇,8,1,晴一時曇,8,1
2020/12/14,曇一時晴,8,1,曇後晴,8,1
2020/12/15,晴一時曇,8,1,快晴,8,1
2020/12/16,晴時々曇,8,1,快晴,8,1
2020/12/17,快晴,8,1,快晴,8,1
2020/12/18,晴,8,1,晴,8,1
2020/12/19,曇時々晴,8,1,快晴,8,1
2020/12/20,晴,8,1,晴,8,1
2020/12/21,快晴,8,1,快晴,8,1
2020/12/22,晴,8,1,快晴,8,1
2020/12/23,快晴,8,1,晴時々薄曇,8,1
2020/12/24,曇一時晴,8,1,薄曇一時晴,8,1
2020/12/25,晴,8,1,晴,8,1
2020/12/26,晴,8,1,晴後曇,8,1
2020/12/27,曇後晴,8,1,曇一時晴,8,1
2020/12/28,曇後晴,8,1,快晴,8,1
2020/12/29,薄曇一時晴,8,1,晴時々薄曇,8,1
2020/12/30,曇一時雨,8,1,晴時々曇,8,1
2020/12/31,晴,8,1,晴,8,1
2021/1/1,快晴,8,1,快晴,8,1
