ダウンロードした時刻：2021/06/07 13:42:06

,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2019/4/22,曇後晴,8,1,曇,8,1
2019/4/23,薄曇,8,1,曇,8,1
2019/4/24,曇時々雨,8,1,雨,8,1
2019/4/25,曇時々雨後一時晴,8,1,曇時々晴後雨,8,1
2019/4/26,雨後曇,8,1,雨一時曇,8,1
2019/4/27,曇後一時雨,8,1,晴,8,1
2019/4/28,薄曇一時晴,8,1,曇時々晴,8,1
2019/4/29,曇,8,1,雨時々曇,8,1
2019/4/30,雨一時曇,8,1,雨,8,1
2019/5/1,曇後雨,8,1,雨後晴一時曇,8,1
2019/5/2,雨時々曇後晴,8,1,晴後一時薄曇,8,1
2019/5/3,薄曇,8,1,薄曇後一時晴,8,1
2019/5/4,晴一時曇、雷を伴う,8,1,晴時々薄曇,8,1
2019/5/5,薄曇時々晴,8,1,晴後一時雨,8,1
2019/5/6,曇,8,1,曇一時晴後一時雨,8,1
2019/5/7,晴時々曇後一時雨,8,1,晴,8,1
2019/5/8,快晴,8,1,薄曇,8,1
2019/5/9,曇,8,1,晴,8,1
2019/5/10,晴後薄曇,8,1,薄曇一時晴,8,1
2019/5/11,晴一時薄曇,8,1,晴後一時曇,8,1
2019/5/12,薄曇,8,1,曇,8,1
2019/5/13,曇時々晴,8,1,曇,8,1
2019/5/14,雨時々曇,8,1,曇時々雨,8,1
2019/5/15,晴時々曇,8,1,晴時々薄曇,8,1
2019/5/16,晴一時曇,8,1,晴,8,1
2019/5/17,晴,8,1,晴後一時薄曇,8,1
2019/5/18,薄曇一時晴,8,1,曇,8,1
2019/5/19,晴時々曇,8,1,晴時々薄曇,8,1
2019/5/20,曇時々晴,8,1,雨時々曇,8,1
2019/5/21,大雨,8,1,曇一時晴,8,1
2019/5/22,薄曇時々晴,8,1,薄曇時々晴,8,1
2019/5/23,晴,8,1,晴,8,1
2019/5/24,快晴,8,1,快晴,8,1
2019/5/25,快晴,8,1,快晴,8,1
2019/5/26,薄曇時々晴,8,1,晴一時薄曇,8,1
2019/5/27,晴時々薄曇,8,1,薄曇,8,1
2019/5/28,曇後一時雨,8,1,雨時々曇,8,1
2019/5/29,曇一時雨,8,1,曇時々雨後一時晴,8,1
2019/5/30,晴後一時薄曇,8,1,薄曇,8,1
2019/5/31,曇,8,1,曇後一時晴,8,1
2019/6/1,曇,8,1,薄曇,8,1
2019/6/2,曇,8,1,曇後一時雨,8,1
2019/6/3,曇一時雨後晴,8,1,晴時々薄曇,8,1
2019/6/4,薄曇,8,1,薄曇,8,1
2019/6/5,曇後一時晴,8,1,晴後一時薄曇,8,1
2019/6/6,晴時々薄曇,8,1,曇,8,1
2019/6/7,雨一時曇,8,1,曇一時雨,8,1
2019/6/8,曇,8,1,曇一時晴後雨,8,1
2019/6/9,曇時々雨,8,1,雨,8,1
2019/6/10,大雨,8,1,雨時々曇,8,1
2019/6/11,曇一時晴,8,1,曇時々雨,8,1
2019/6/12,曇,8,1,晴,8,1
2019/6/13,晴,8,1,快晴,8,1
2019/6/14,曇,8,1,雨一時曇,8,1
2019/6/15,大雨,8,1,曇時々雨一時晴、雷を伴う,8,1
2019/6/16,晴,8,1,晴,8,1
2019/6/17,晴後薄曇,8,1,晴時々曇,8,1
2019/6/18,晴後薄曇,8,1,晴時々薄曇,8,1
2019/6/19,晴一時曇,8,1,曇一時晴,8,1
2019/6/20,曇後晴,8,1,曇,8,1
2019/6/21,曇,8,1,晴時々曇,8,1
2019/6/22,雨一時曇,8,1,曇一時雨,8,1
2019/6/23,曇,8,1,曇後雨,8,1
2019/6/24,雨後一時曇,8,1,曇一時晴,8,1
2019/6/25,曇後晴,8,1,晴,8,1
2019/6/26,晴後時々薄曇,8,1,薄曇後時々晴,8,1
2019/6/27,曇後一時雨,8,1,雨後一時曇,8,1
2019/6/28,曇,8,1,雨時々曇,8,1
2019/6/29,雨後曇,8,1,雨,8,1
2019/6/30,雨時々曇,8,1,曇一時雨,8,1
2019/7/1,雨時々曇,8,1,曇時々雨,8,1
2019/7/2,曇一時雨,8,1,曇,8,1
2019/7/3,曇,8,1,雨時々曇,8,1
2019/7/4,雨後一時曇,8,1,曇時々晴,8,1
2019/7/5,曇,8,1,雨一時曇,8,1
2019/7/6,曇一時雨,8,1,雨一時曇,8,1
2019/7/7,雨,8,1,雨後曇,8,1
2019/7/8,曇,8,1,曇,8,1
2019/7/9,曇,8,1,曇,8,1
2019/7/10,曇後一時晴,8,1,曇一時晴,8,1
2019/7/11,曇後雨,8,1,雨,8,1
2019/7/12,雨後一時曇,8,1,曇,8,1
2019/7/13,曇一時雨,8,1,雨,8,1
2019/7/14,雨一時曇,8,1,曇後雨,8,1
